,name,parents
485,betweenness0diversity-2pagerank2peel0degree-1,diversity-2pagerank2peel0degree-1
486,betweenness0diversity-1pagerank2peel0degree-1,diversity-1pagerank2peel0degree-1
487,betweenness0diversity-1pagerank-2peel0degree-1,diversity-1pagerank-2peel0degree-1
488,betweenness0diversity1pagerank-2peel0degree-1,diversity1pagerank-2peel0degree-1
489,betweenness1diversity0pagerank1peel0degree-1,diversity0pagerank1peel0degree-1
490,betweenness-1diversity0pagerank1peel0degree-1,diversity0pagerank1peel0degree-1
491,betweenness1diversity-1pagerank1peel0degree-1,diversity-1pagerank1peel0degree-1
492,betweenness-1diversity-1pagerank1peel0degree-1,diversity-1pagerank1peel0degree-1
493,betweenness0diversity-2pagerank1peel0degree-1,diversity-2pagerank1peel0degree-1
494,betweenness0diversity0pagerank4peel0degree-1,diversity0pagerank4peel0degree-1
495,betweenness0diversity0pagerank4peel-1degree-1,diversity0pagerank4peel-1degree-1
496,betweenness-1diversity-3pagerank-1peel-1degree-1,diversity-3pagerank-1peel-1degree-1
497,betweenness4diversity-3pagerank-1peel-1degree-1,diversity-3pagerank-1peel-1degree-1
498,betweenness-1diversity0pagerank-1peel-1degree-1,diversity0pagerank-1peel-1degree-1
499,betweenness7diversity0pagerank-1peel-1degree-1,diversity0pagerank-1peel-1degree-1
500,betweenness0diversity0pagerank-1peel-1degree-1,diversity0pagerank-1peel-1degree-1
501,betweenness3diversity0pagerank-1peel-1degree-1,diversity0pagerank-1peel-1degree-1
502,betweenness0diversity1pagerank0peel-1degree-1,diversity1pagerank0peel-1degree-1
503,betweenness1diversity1pagerank0peel-1degree-1,diversity1pagerank0peel-1degree-1
504,betweenness-1diversity1pagerank0peel-1degree-1,diversity1pagerank0peel-1degree-1
505,betweenness-2diversity1pagerank0peel-1degree-1,diversity1pagerank0peel-1degree-1
506,betweenness-1diversity0pagerank0peel-1degree-1,diversity0pagerank0peel-1degree-1
507,betweenness1diversity0pagerank0peel-1degree-1,diversity0pagerank0peel-1degree-1
508,betweenness4diversity0pagerank0peel-1degree-1,diversity0pagerank0peel-1degree-1
509,betweenness0diversity-3pagerank0peel-1degree-1,diversity-3pagerank0peel-1degree-1
510,betweenness0diversity0pagerank1peel-1degree-1,diversity0pagerank1peel-1degree-1
511,betweenness-2diversity0pagerank1peel-1degree-1,diversity0pagerank1peel-1degree-1
512,betweenness-3diversity0pagerank1peel-1degree-1,diversity0pagerank1peel-1degree-1
513,betweenness-1diversity-1pagerank1peel-1degree-1,diversity-1pagerank1peel-1degree-1
514,betweenness1diversity-1pagerank1peel-1degree-1,diversity-1pagerank1peel-1degree-1
515,betweenness0diversity-3pagerank1peel-1degree-1,diversity-3pagerank1peel-1degree-1
516,betweenness-1diversity-2pagerank2peel-1degree-1,diversity-2pagerank2peel-1degree-1
517,betweenness0diversity-2pagerank2peel-1degree-1,diversity-2pagerank2peel-1degree-1
518,betweenness-1diversity0pagerank2peel-1degree-1,diversity0pagerank2peel-1degree-1
519,betweenness0diversity0pagerank2peel-1degree-1,diversity0pagerank2peel-1degree-1
520,betweenness0diversity1pagerank2peel-1degree-1,diversity1pagerank2peel-1degree-1
521,betweenness0diversity0pagerank3peel-1degree-1,diversity0pagerank3peel-1degree-1
522,betweenness0diversity-1pagerank3peel-1degree-1,diversity-1pagerank3peel-1degree-1
523,betweenness-1diversity0pagerank-1peel2degree-1,diversity0pagerank-1peel2degree-1
524,betweenness1diversity0pagerank-1peel2degree-1,diversity0pagerank-1peel2degree-1
525,betweenness0diversity-1pagerank-1peel2degree-1,diversity-1pagerank-1peel2degree-1
526,betweenness0diversity1pagerank-1peel2degree-1,diversity1pagerank-1peel2degree-1
527,betweenness0diversity-2pagerank-1peel2degree-1,diversity-2pagerank-1peel2degree-1
528,betweenness0diversity0pagerank2peel2degree-1,diversity0pagerank2peel2degree-1
529,betweenness-1diversity0pagerank0peel2degree-1,diversity0pagerank0peel2degree-1
530,betweenness1diversity0pagerank0peel2degree-1,diversity0pagerank0peel2degree-1
